# w1 <TAB> w2 <TAB> count — from the Dhivehi Wikipedia dump.
ވަނަ	އަހަރު	2193
ވަނަ	އަހަރުގެ	889
ނުވަތަ	އަކީ	718
ވަނަ	ދުވަހެވެ	692
މީގެ	އިތުރުން	601
އެންމެ	މޮޅު	578
ދިވެހިރާއްޖޭގައި	އުޅޭ	564
އުޅޭ	މަސްތައް	528
އެންމެ	ބޮޑު	483
ހުރެއެވެ	މަހުގެ	470
މަޑުކަށި	ހުރެއެވެ	470
އެންމެ	ފުރަތަމަ	467
ޤިސްމު	ބަލިތައް	444
ޤިސްމު	ދިވެހިރާއްޖޭގައި	440
ވަރަށް	ގިނަ	436
ފާހަގަ	ކުރެވޭ	420
ޤިސްމު	ޙަޔާތުނާމާ	412
މީލާދީ	ކަލަންޑަރުގެ	388
އަކީ	މީލާދީ	376
މަރުވި	މީހުން	373
ދުވަހެއްގެ	ގޮތުގައި	370
އުފަންވި	މީހުން	369
ބައެއް	ފަހަރު	368
ބަންދު	ދުވަސްތަކާއި	365
ދުވަސްތަކާއި	ފާހަގަ	364
ކުރެވޭ	ދުވަހެއްގެ	364
ހިޖުރައިން	ވަނަ	357
ކަލަންޑަރުގެ	ވަނަ	357
ދުވަހެވެ	ޙާދިސާތައް	357
މީހުން	މަރުވި	354
އެވެ	އަދި	352
ގޮތުގައި	ޤިސްމު	349
މީހުން	ބަންދު	340
އިންސާނާގެ	ހަށިގަނޑު	335
އާއި	ދެމެދުގެ	330
އާންމު	ގޮތެއްގައި	329
މަހުގެ	ވަނަ	326
ޤިސްމު	އިންސާނާގެ	320
މިނިސްޓްރީ	އޮފް	313
ވަނަ	ދުވަހު	312
އާއި	އާއި	310
ދުވަހެވެ	ލީޕް	307
ލީޕް	އަހަރެއްގައި	306
އަހަރެއްގައި	ވަނަ	306
އިތުރު	ފާލަންތައް	295
މީލާދީން	ވަނަ	281
ހަށިގަނޑު	ޤިސްމު	271
ވަރަށް	ބޮޑަށް	267
ދެމެދުގެ	އަދަދަކަށް	264
ޑރ	މުޙައްމަދު	264
ފާހަގަ	ކުރެވެއެވެ	261
މިނިސްޓަރ	އޮފް	250
އަހަރު	އެވެ	247
އޭގެ	ފަހުން	242
ތެރޭގައި	ހިމެނޭ	241
ބަނޑުދަށް	ފަރާތު	239
ކޯޑަކީ	އެވެ	229
ފައިލު	ފައިލު	229
އެ	ޤައުމުގެ	228
ޤިސްމު	ދިވެހި	226
ޙާދިސާތައް	ދިވެހިރާއްޖެ	215
ޤިސްމު	ޤިސްމު	213
ނަތީޖާއެއްގެ	ގޮތުން	213
ތަކުގެ	ތެރޭގައި	212
ފ	އަތޮޅު	209
އެހެން	ކަމުން	208
ޖެނެރަލް	ރިޓަޔަރޑް	208
މީހުން	ދިރިއުޅޭ	200
މަހުގެ	ބުރަކަށިމަތީ	200
އަދަދަކަށް	މަޑުކަށި	200
މުޙައްމަދު	އަމީން	198
އެހެން	ނަމަވެސް	192
ވަނަ	އަހަރުން	190
ހުރެއެވެ	ބަނޑުދަށް	190
ފަދަ	ކަންތައްތައް	187
އެވެ	ޤިސްމު	185
ގައުމީ	ފިލްމް	185
ފުރަތަމަ	ފަހަރަށް	184
އަކީ	ރާއްޖޭގެ	184
ކުރެއްވި	އެވެ	181
ފިލްމް	އެވޯޑް	181
އަކީ	ދިވެހި	178
އެންމެ	ބޮޑުވަނީ	176
ތޯމަސް	ޖެފަރސަން	175
ފަލަ	ގޮހޮރު	175
ކޮތަރިބައިގައި	ހަރުކައްޓާއެކު	175
އަހަރުން	ފެށިގެން	174
ސުލްޠާން	މުޙައްމަދު	174
ބްރިގޭޑިއަރ	ޖެނެރަލް	174
ން	އަށް	170
ރަށްތަކުގެ	ތެރެއިން	170
މި	ރަށަކީ	170
ވެދާނެ	ގޮތެކެވެ	170
ފަރާތު	ކޮތަރިބައިގައި	170
ވެއެވެ	އަދި	167
ތެރެއިން	އެންމެ	166
ބޮޑު	ޤައުމެވެ	165
ދިވެހި	މުނިފޫހިފިލުވުމުގެ	163
މުނިފޫހިފިލުވުމުގެ	ދާއިރާ	163
އެ	މަނިކުފާނު	162
ތެރެއިން	ރަށެކެވެ	161
ވަނަ	އަހަރުގައެވެ	157
ވެސް	މެއެވެ	156
އާބާދީ	ބޮޑު	155
އުޅޭ	މަހެކެވެ	153
އޭގެ	ތެރޭގައި	151
އިނގިރޭސި	ބަހުން	151
އެންމެ	އާބާދީ	149
އަތޮޅުގައި	މީހުން	149
ޤިސްމު	ދިވެހިރާއްޖޭގެ	149
މިމަސް	އެންމެ	149
ފުރަގަސް	ފަރާތު	148
ބުރަކަށިމަތީ	ކޮތަރިބައިގައި	146
އެންމެ	ގިނައިން	145
މި	ޤައުމުގެ	145
މަހުގެ	ކުލައަކީ	145
އެވެ	އެއީ	143
ޑީ	ޕީ	143
ވަނަ	އަހަރުއެވެ	142
ތެރެއިން	ވަނަ	142
ތާރީޚަށް	ޚިދުމަތްކުރާ	142
