# Generated from Radheef (radheef.siyamex.com) by scripts/build_definitions.py — do not edit by hand.
ހަ	(ނ) ހަދޯނި
ހަހަރު	ލޯބި
ހަހަރުވެތި	ލޯބިވެތި
ހަހަރުވެތުން	ލޯބިކުރުން
ހަހުރަޔާ	) ހަސަދަވެރިޔާ
ހަހެތި	މަޤާމު ފަދަ އިތުރު ތަންތަން
ހަށަ	ހަށަބަސް
ހަށަހޮއްލުން	(2) ހަށަބަސް
ހަށަނަރަ	(2) ތާނައިގެ އަކުރުތަކަށް އެއްކޮށް ކިޔާ ނަން
ހަށަން	(4) ގެފުޅާއި ޒިޔާރާތްފުޅާއި މަސްޖިދުލްއަޤްޞާގެ ވަށައިގެން އޮންނަ ހަރިންމަ
ހަށަންބަނުން	އަދި މިޙަރަކާތްތައް އަދަބުވެރިގޮތުން ނޫނަސް ގެނެވެ އެވެ
ހަށަންބަންތަކުބީރު	(2) ނަމާދުގެ ދެވަނަ ރުކުން
ހަށަންފުޅަށް އަތްޕުޅުއެރުވުން	"ހަށަމަށް އަތްއެރުވުން" މިބަހުގެ އެންމެމާތްގޮތް
ހަށަންފުޅު	މައްކާއާއި މަދީނާއާއި މަސްޖިދުލް އަޤްޞާގެ ހަށަން
ހަށަންފުޅުބެންނެވުން	" ހަށަންބަނުން" މިބަހުގެ އެންމެމާތްގޮތް
ހަށަބަހަ	ހަށަބަސް
ހަށަބަސް	(ނ) ހުސައިން ދީދީ (ށުޑެންފީފި)
ހަށަވާޅު	) ހަރުވާޅު
ހަށަވާދަ	) ވައްބަހުން ދައްކާ ވާހަކަ
ހަށަވާދަކިޔުން	) ވައްބަހުން ވާހަކަ ދެއްކުން
ހަށަވާލި	މަހުގެ އަރިމަތީގައި ދެބަރިއަކަށް ހުންނަ ކަޅު ލައްތަކެއް ހުރެއެވެ
ހަށަމަށްއަތްއެރުވުން	މަރަށް ޙާޒިރުވެފައިވާ މީހާގެ ނުވަތަ މައްޔިތާގެ މޭކަށިގަނޑުގެ ތިރީގައި ވައަތްމަތީގައި ކަނާއަތް ބޭއްވުން
ހަށަފާޅަ	) ދޭ
ހަށަގެހުން	ދެކޮޅުވެރިވެ ޒުވާބު ކުރުން
ހަށި	ދިރޭ ކޮންމެ އެއްޗެއްގެ މުޅިހަށިގަނޑު
ހަށިހިރު	) ހުސް
ހަށިހުއްދަ	(2) އަނެކާގެ ޢިއްދައެއްގައި އިންކަމުގައި ނުވާ
ހަށިހުއްދަވުން	(2) އަނެކާގެ އިއްދައިގައި އިންކަމުގައި ނުވުން
ހަށިހެއު	ހަށިހެޔޮ
ހަށިހެއުވުން	ހަށިހެޔޮވުން
ހަށިހެދުން	ގައިހެދުން
ހަށިހެޔޮ	(4) ރޫފަ ރަގަނޅު
