# Generated from Radheef (radheef.siyamex.com) by scripts/build_thesaurus.py — do not edit by hand.
# format: word <TAB> synonym:corpus_count|synonym:count...
ހަހަރު	ލޯބި:86
ހަހަރުވެތި	ލޯބިވެތި:1
ހަހަރުވެތުން	ލޯބިކުރުން:2
ހަށަ	ހަށަބަސް:0
ހަށަހޮއްލުން	ހަށަބަސް:0
ހަށަންބަނުން	ޙަރަމްބަނުން:0
ހަށަންފުޅު	ޙަރަމު:0
ހަށަބަހަ	ހަށަބަސް:0
ހަށަބަސް	ހަށަ:0|ހަށަހޮއްލުން:0|ހަށަބަހަ:0
ހަށަވާޅު	ހަރުވާޅު:2
ހަށަވާދަ	ހަރިވާދަ:0
ހަށަވާލި	ހޮނޑެލިފަހާވާލި:0|އެކަވާލި:1
ހަށަފާޅަ	ދޭ:93
ހަށި	ހިވިކައި:0
ހަށިހިރު	ހުސް:26
ހަށިހެއު	ހަށިހެޔޮ:0
ހަށިހެއުވުން	ހަށިހެޔޮވުން:0
ހަށިހެދުން	ގައިހެދުން:0
ހަށިހެޔޮ	ހަށިހެއު:0
ހަށިހެޔޮވުން	ހަށިހެއުވުން:0
ހަށިބުރަ	ބަރުހެލި:7
ހަށިބުރަކަން	ބަރުހެލިކަން:0
ހަށިބުރަވުން	ބަރުހެލިވުން:0
ހަށިގަނޑު	ހަށުގަނޑަ:0|ފިއަރި:0
ހަށީފެން	މަނި:176|ފަޑަ:0
ހަށުގަނޑަ	ހަށިގަނޑު:582
ހަނދަ	ހަނދު:16
ހަނދަރަބޮލި	ސަނދަރަބޮލި:0
ހަނދަވަރަކޮކާ	ކޮކާހަނދުވަރު:0
ހަނދަފަޅަ	ހުޅެވިހަނދު:0
ހަނދަފަޅި	ހަނދުފަޅި:22
ހަނދަލާގެ	ހަނދުގެ:8
ހަނދާން	ޒިކުރާ:9
ހަނދާންނެތުން	ހަނދުމަނެތުން:0
ހަނދާންވުން	ހަނދުމަވުން:0
ހަނދި	ހާނދު:0
ހަނދު	ހަނދަ:0|ހަނދޮ:0|ހޯމަ:56|ސަންދު:0
ހަނދުބޮލި	ސަނދަރަބޮލި:0
ހަނދުއަނެ	ހަނދުގެ:8
ހަނދުވަރު	ވަންކާރަ:0|ވައްކާރަ:0|މަސަކަވަރުނަ:0|ސަނދުރަވި:0|ސަންދުރަވި:0
